NIVELES DE FORMACION;Decil;Tipo de jornada;Periodo;Total
Total;Total decil;Jornada a tiempo completo;2022;2.341,35
Total;Total decil;Jornada a tiempo completo;2021;2.313,13
Total;Total decil;Jornada a tiempo completo;2020;2.258,30
Total;Total decil;Jornada a tiempo completo;2019;2.207,31
Total;Total decil;Jornada a tiempo completo;2018;2.177,14
Total;Total decil;Jornada a tiempo completo;2017;2.120,76
Total;Total decil;Jornada a tiempo completo;2016;2.106,71
Total;Total decil;Jornada a tiempo completo;2015;2.142,03
Total;Total decil;Jornada a tiempo completo;2014;2.132,20
Z Analfabetos;Total decil;Jornada a tiempo completo;2022;1.481,93
Z Analfabetos;Total decil;Jornada a tiempo completo;2021;1.265,46
Z Analfabetos;Total decil;Jornada a tiempo completo;2020;1.335,70
Z Analfabetos;Total decil;Jornada a tiempo completo;2019;1.386,94
Z Analfabetos;Total decil;Jornada a tiempo completo;2018;1.182,91
Z Analfabetos;Total decil;Jornada a tiempo completo;2017;1.323,37
Z Analfabetos;Total decil;Jornada a tiempo completo;2016;1.233,25
Z Analfabetos;Total decil;Jornada a tiempo completo;2015;1.179,25
Z Analfabetos;Total decil;Jornada a tiempo completo;2014;1.050,29
11 Estudios primarios incompletos;Total decil;Jornada a tiempo completo;2022;1.540,64
11 Estudios primarios incompletos;Total decil;Jornada a tiempo completo;2021;1.473,47
11 Estudios primarios incompletos;Total decil;Jornada a tiempo completo;2020;1.413,57
11 Estudios primarios incompletos;Total decil;Jornada a tiempo completo;2019;1.407,11
11 Estudios primarios incompletos;Total decil;Jornada a tiempo completo;2018;1.343,86
11 Estudios primarios incompletos;Total decil;Jornada a tiempo completo;2017;1.348,84
11 Estudios primarios incompletos;Total decil;Jornada a tiempo completo;2016;1.263,71
11 Estudios primarios incompletos;Total decil;Jornada a tiempo completo;2015;1.353,01
11 Estudios primarios incompletos;Total decil;Jornada a tiempo completo;2014;1.353,64
B Educación primaria;Total decil;Jornada a tiempo completo;2022;1.620,66
B Educación primaria;Total decil;Jornada a tiempo completo;2021;1.560,66
B Educación primaria;Total decil;Jornada a tiempo completo;2020;1.538,57
B Educación primaria;Total decil;Jornada a tiempo completo;2019;1.526,69
B Educación primaria;Total decil;Jornada a tiempo completo;2018;1.486,89
B Educación primaria;Total decil;Jornada a tiempo completo;2017;1.442,85
B Educación primaria;Total decil;Jornada a tiempo completo;2016;1.461,68
B Educación primaria;Total decil;Jornada a tiempo completo;2015;1.485,48
B Educación primaria;Total decil;Jornada a tiempo completo;2014;1.490,88
Primera etapa de educación secundaria y similar;Total decil;Jornada a tiempo completo;2022;1.780,32
Primera etapa de educación secundaria y similar;Total decil;Jornada a tiempo completo;2021;1.723,14
Primera etapa de educación secundaria y similar;Total decil;Jornada a tiempo completo;2020;1.652,54
Primera etapa de educación secundaria y similar;Total decil;Jornada a tiempo completo;2019;1.679,66
Primera etapa de educación secundaria y similar;Total decil;Jornada a tiempo completo;2018;1.650,86
Primera etapa de educación secundaria y similar;Total decil;Jornada a tiempo completo;2017;1.592,44
Primera etapa de educación secundaria y similar;Total decil;Jornada a tiempo completo;2016;1.601,15
Primera etapa de educación secundaria y similar;Total decil;Jornada a tiempo completo;2015;1.594,59
Primera etapa de educación secundaria y similar;Total decil;Jornada a tiempo completo;2014;1.608,19
Segunda etapa de educación secundaria, con orientación general;Total decil;Jornada a tiempo completo;2022;2.049,09
Segunda etapa de educación secundaria, con orientación general;Total decil;Jornada a tiempo completo;2021;2.016,46
Segunda etapa de educación secundaria, con orientación general;Total decil;Jornada a tiempo completo;2020;2.007,24
Segunda etapa de educación secundaria, con orientación general;Total decil;Jornada a tiempo completo;2019;1.986,53
Segunda etapa de educación secundaria, con orientación general;Total decil;Jornada a tiempo completo;2018;1.966,77
Segunda etapa de educación secundaria, con orientación general;Total decil;Jornada a tiempo completo;2017;1.906,10
Segunda etapa de educación secundaria, con orientación general;Total decil;Jornada a tiempo completo;2016;1.901,81
Segunda etapa de educación secundaria, con orientación general;Total decil;Jornada a tiempo completo;2015;2.007,86
Segunda etapa de educación secundaria, con orientación general;Total decil;Jornada a tiempo completo;2014;1.926,68
Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);Total decil;Jornada a tiempo completo;2022;1.894,73
Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);Total decil;Jornada a tiempo completo;2021;1.851,08
Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);Total decil;Jornada a tiempo completo;2020;1.786,51
Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);Total decil;Jornada a tiempo completo;2019;1.791,11
Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);Total decil;Jornada a tiempo completo;2018;1.755,20
Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);Total decil;Jornada a tiempo completo;2017;1.713,78
Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);Total decil;Jornada a tiempo completo;2016;1.695,70
Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);Total decil;Jornada a tiempo completo;2015;1.679,32
Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);Total decil;Jornada a tiempo completo;2014;1.713,26
Educación superior;Total decil;Jornada a tiempo completo;2022;2.845,24
Educación superior;Total decil;Jornada a tiempo completo;2021;2.823,43
Educación superior;Total decil;Jornada a tiempo completo;2020;2.774,21
Educación superior;Total decil;Jornada a tiempo completo;2019;2.726,99
Educación superior;Total decil;Jornada a tiempo completo;2018;2.682,57
Educación superior;Total decil;Jornada a tiempo completo;2017;2.633,87
Educación superior;Total decil;Jornada a tiempo completo;2016;2.618,66
Educación superior;Total decil;Jornada a tiempo completo;2015;2.655,76
Educación superior;Total decil;Jornada a tiempo completo;2014;2.645,88
